Scentia Recs,,,,,,,,,,,,,,,,,,,
## RECSRecommendations Upload File,,,,,,,,,,,,,,,,,,,
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.,,,,,,,,,,,,,,,,,,,
## RECS,,,,,,,,,,,,,,,,,,,
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.,,,,,,,,,,,,,,,,,,,
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.,,,,,,,,,,,,,,,,,,,
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.,,,,,,,,,,,,,,,,,,,
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.custom1,entity.custom2,entity.custom3,entity.custom4,entity.custom5,entity.custom6,entity.custom7,entity.custom8,entity.custom9,entity.custom10,...
1,AIM Director Certificate,Leadership and Strategy,2 Days,https://www.aim.com.au/sites/default/files/styles/crop___scale__380x220_/public/00960_AIM_Screens_AIMDirectorCertificate.jpg, ,https://www.aim.com.au/leadership-strategy/courses/aim-director-certificate, , , ,,,,,,,,,,
2,Building High Performance Teams,Leadership and Strategy,1 Day,https://www.aim.com.au/sites/default/files/styles/crop___scale__380x220_/public/00960_AIM_Screens_BuildingHighPerformanceTeams.jpg, ,https://www.aim.com.au/leadership-strategy/courses/building-high-performance-teams, , , ,,,,,,,,,,
3,Change Management,Leadership and Strategy,2 Days,https://www.aim.com.au/sites/default/files/styles/crop___scale__380x220_/public/00960_AIM_Screens_ChangemanagementEmbraceEvolveThrive.jpg, ,https://www.aim.com.au/leadership-strategy/courses/change-management-embrace-evolve-thrive, , , ,,,,,,,,,,
4,Coaching for High Performance,Leadership and Strategy,1 Day,https://www.aim.com.au/sites/default/files/styles/crop___scale__380x220_/public/00960_AIM_Screens_CoachingForHighPerformance.jpg, ,https://www.aim.com.au/leadership-strategy/courses/coaching-for-high-performance, , , ,,,,,,,,,,
,,,,, ,, , , ,,,,,,,,,,
,,,,, ,, , , ,,,,,,,,,,
,,,,, ,, , , ,,,,,,,,,,
,,,,, ,, , , ,,,,,,,,,,
,,,,, ,, , ,,,,,,,,,,,
,,,,, ,, , ,,,,,,,,,,,
,,,,, ,, ,,,,,,,,,,,,
,,,,, ,, ,,,,,,,,,,,,